,AAPL US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMZN US Equity,,,,,,,,,SPX Index,,,,,,,,
Dates,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN,PX_CLOSE_1D,EV_EBIT_ADJUSTED,GEO_GROW_NET_SALES,FREE_CASH_FLOW_YIELD,PE_RATIO,BEST_PEG_RATIO,PX_TO_SALES_RATIO,EBITDA_TO_REVENUE,PROF_MARGIN
1/12/2018,43.82,#N/A N/A,#N/A N/A,5.8634,18.4106,#N/A N/A,3.8214,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.834,#N/A N/A,#N/A N/A,1.0107,212.2276,#N/A N/A,3.5255,#N/A N/A,#N/A N/A,2767.56,#N/A N/A,#N/A N/A,3.93,22.4555,#N/A N/A,2.301,#N/A N/A,9.18
1/15/2018,43.82,#N/A N/A,#N/A N/A,5.8634,18.4106,#N/A N/A,3.8214,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.834,#N/A N/A,#N/A N/A,1.0107,212.2276,#N/A N/A,3.5255,#N/A N/A,#N/A N/A,2767.56,#N/A N/A,#N/A N/A,3.93,22.4555,#N/A N/A,2.301,#N/A N/A,9.18
1/16/2018,44.273,#N/A N/A,#N/A N/A,5.8933,18.317,#N/A N/A,3.8019,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.26,#N/A N/A,#N/A N/A,1.011,212.1724,#N/A N/A,3.5246,#N/A N/A,#N/A N/A,2786.24,#N/A N/A,#N/A N/A,3.95,22.3776,#N/A N/A,2.293,#N/A N/A,9.18
1/17/2018,44.048,#N/A N/A,#N/A N/A,5.7976,18.6196,#N/A N/A,3.8647,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.243,#N/A N/A,#N/A N/A,1.0187,210.5691,#N/A N/A,3.498,#N/A N/A,#N/A N/A,2776.42,#N/A N/A,#N/A N/A,3.91,22.5886,#N/A N/A,2.3146,#N/A N/A,9.18
1/18/2018,44.775,#N/A N/A,#N/A N/A,5.7924,18.6362,#N/A N/A,3.8682,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.75,#N/A N/A,#N/A N/A,1.02,210.2959,#N/A N/A,3.4934,#N/A N/A,#N/A N/A,2802.56,#N/A N/A,#N/A N/A,3.91,22.5523,#N/A N/A,2.3109,#N/A N/A,9.18
1/19/2018,44.815,#N/A N/A,#N/A N/A,5.8184,18.553,#N/A N/A,3.8509,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.666,#N/A N/A,#N/A N/A,1.019,210.5008,#N/A N/A,3.4968,#N/A N/A,#N/A N/A,2798.03,#N/A N/A,#N/A N/A,3.9,22.6509,#N/A N/A,2.321,#N/A N/A,9.18
1/22/2018,44.615,#N/A N/A,#N/A N/A,5.8664,18.4012,#N/A N/A,3.8194,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.729,#N/A N/A,#N/A N/A,0.9939,215.8228,#N/A N/A,3.5852,#N/A N/A,#N/A N/A,2810.3,#N/A N/A,#N/A N/A,3.87,22.834,#N/A N/A,2.3396,#N/A N/A,9.18
1/23/2018,44.25,#N/A N/A,#N/A N/A,5.865,18.4054,#N/A N/A,3.8203,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.366,#N/A N/A,#N/A N/A,0.9682,221.5512,#N/A N/A,3.6804,#N/A N/A,#N/A N/A,2832.97,#N/A N/A,#N/A N/A,3.86,22.8843,#N/A N/A,2.3447,#N/A N/A,9.18
1/24/2018,44.26,#N/A N/A,#N/A N/A,5.96,18.1122,#N/A N/A,3.7594,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.127,#N/A N/A,#N/A N/A,0.9718,220.7333,#N/A N/A,3.6668,#N/A N/A,#N/A N/A,2839.13,#N/A N/A,#N/A N/A,3.86,22.8718,#N/A N/A,2.3435,#N/A N/A,9.18
1/25/2018,43.555,#N/A N/A,#N/A N/A,6.0683,17.7889,#N/A N/A,3.6923,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.876,#N/A N/A,#N/A N/A,0.9574,224.0569,#N/A N/A,3.722,#N/A N/A,#N/A N/A,2837.54,#N/A N/A,#N/A N/A,3.86,22.886,#N/A N/A,2.3449,#N/A N/A,9.18
1/26/2018,42.778,#N/A N/A,#N/A N/A,6.0542,17.8305,#N/A N/A,3.701,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.898,#N/A N/A,#N/A N/A,0.9409,227.9756,#N/A N/A,3.7871,#N/A N/A,#N/A N/A,2839.25,#N/A N/A,#N/A N/A,3.81,23.1527,#N/A N/A,2.3726,#N/A N/A,9.16
1/29/2018,42.878,#N/A N/A,#N/A N/A,6.1821,17.4614,#N/A N/A,3.6244,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.102,#N/A N/A,#N/A N/A,0.9305,230.5171,#N/A N/A,3.8293,#N/A N/A,#N/A N/A,2872.87,#N/A N/A,#N/A N/A,3.84,22.9611,#N/A N/A,2.3554,#N/A N/A,9.04
1/30/2018,41.99,#N/A N/A,#N/A N/A,6.2188,17.3585,#N/A N/A,3.603,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.884,#N/A N/A,#N/A N/A,0.9175,233.7919,#N/A N/A,3.8837,#N/A N/A,#N/A N/A,2853.53,#N/A N/A,#N/A N/A,3.89,22.7116,#N/A N/A,2.3298,#N/A N/A,9.04
1/31/2018,41.743,#N/A N/A,#N/A N/A,6.2017,17.4063,#N/A N/A,3.6129,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.891,#N/A N/A,#N/A N/A,0.9092,235.9171,#N/A N/A,3.919,#N/A N/A,#N/A N/A,2822.43,#N/A N/A,#N/A N/A,3.89,22.7028,#N/A N/A,2.3288,#N/A N/A,9.05
2/1/2018,41.858,#N/A N/A,#N/A N/A,6.1887,17.4427,#N/A N/A,3.6205,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.545,#N/A N/A,#N/A N/A,0.9491,226.0163,#N/A N/A,3.7546,#N/A N/A,#N/A N/A,2823.81,#N/A N/A,#N/A N/A,3.9,22.6879,#N/A N/A,2.3273,#N/A N/A,9.05
2/2/2018,41.945,#N/A N/A,#N/A N/A,6.4695,16.6859,#N/A N/A,3.4634,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,#N/A N/A,#N/A N/A,0.9225,232.5122,#N/A N/A,3.8625,#N/A N/A,#N/A N/A,2821.98,#N/A N/A,#N/A N/A,3.98,22.2084,#N/A N/A,2.2779,#N/A N/A,9.05
2/5/2018,40.125,#N/A N/A,#N/A N/A,6.6352,16.269,#N/A N/A,3.3768,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.498,#N/A N/A,#N/A N/A,0.9491,226.0163,#N/A N/A,3.7546,#N/A N/A,#N/A N/A,2762.13,#N/A N/A,#N/A N/A,4.14,21.2631,#N/A N/A,2.1806,#N/A N/A,9.12
2/6/2018,39.123,#N/A N/A,#N/A N/A,6.3691,16.9489,#N/A N/A,3.518,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5,#N/A N/A,#N/A N/A,0.9143,234.6081,#N/A N/A,3.8973,#N/A N/A,#N/A N/A,2648.94,#N/A N/A,#N/A N/A,4.07,21.6341,#N/A N/A,2.2186,#N/A N/A,9.12
2/7/2018,40.758,#N/A N/A,#N/A N/A,6.5084,16.5861,#N/A N/A,3.4427,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.142,#N/A N/A,#N/A N/A,0.9311,230.3707,#N/A N/A,3.8269,#N/A N/A,#N/A N/A,2695.14,#N/A N/A,#N/A N/A,4.09,21.5255,#N/A N/A,2.2075,#N/A N/A,9.12
2/8/2018,39.885,#N/A N/A,#N/A N/A,6.6925,16.1297,#N/A N/A,3.3479,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.839,#N/A N/A,#N/A N/A,0.9768,219.5935,#N/A N/A,3.6479,#N/A N/A,#N/A N/A,2681.66,#N/A N/A,#N/A N/A,4.25,20.7173,#N/A N/A,2.1246,#N/A N/A,9.12
2/9/2018,38.788,#N/A N/A,#N/A N/A,6.6386,16.2607,#N/A N/A,3.3751,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.525,#N/A N/A,#N/A N/A,0.9848,217.8211,#N/A N/A,3.6184,#N/A N/A,#N/A N/A,2581,#N/A N/A,#N/A N/A,4.19,21.0273,#N/A N/A,2.1564,#N/A N/A,9.12
2/12/2018,39.103,#N/A N/A,#N/A N/A,6.3816,16.9156,#N/A N/A,3.5111,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.98,#N/A N/A,#N/A N/A,0.9516,225.4033,#N/A N/A,3.7444,#N/A N/A,#N/A N/A,2619.55,#N/A N/A,#N/A N/A,4.13,21.3181,#N/A N/A,2.1862,#N/A N/A,9.12
2/13/2018,40.678,#N/A N/A,#N/A N/A,6.3183,17.0851,#N/A N/A,3.5462,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.312,#N/A N/A,#N/A N/A,0.9326,230.0016,#N/A N/A,3.8208,#N/A N/A,#N/A N/A,2656,#N/A N/A,#N/A N/A,4.12,21.3727,#N/A N/A,2.1916,#N/A N/A,9.12
2/14/2018,41.085,#N/A N/A,#N/A N/A,6.2039,17.4001,#N/A N/A,3.6116,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.726,#N/A N/A,#N/A N/A,0.9091,235.9431,#N/A N/A,3.9195,#N/A N/A,#N/A N/A,2662.94,#N/A N/A,#N/A N/A,4.07,21.6588,#N/A N/A,2.221,#N/A N/A,9.12
2/15/2018,41.843,#N/A N/A,#N/A N/A,6.0024,17.9843,#N/A N/A,3.7329,#N/A N/A,#N/A N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.553,#N/A N/A,#N/A N/A,0.9025,237.6846,#N/A N/A,3.9484,#N/A N/A,#N/A N/A,2698.63,#N/A N/A,#N/A N/A,4.02,21.921,#N/A N/A,2.2479,#N/A N/A,9.12
