,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,META US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,AMZN US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index
,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11,1,2,3,4,5,6,7,8,9,10,11
Dates,PX_OPEN,PX_OFFICIAL_CLOSE,PE_RATIO,EV_EBITDA_ADJUSTED,SALES_GROWTH,CUR_MKT_CAP,PX_VOLUME,FREE_CASH_FLOW_YIELD,PROF_MARGIN,EBITDA_TO_REVENUE,BEST_PX_SALES_RATIO,PX_OPEN,PX_OFFICIAL_CLOSE,PE_RATIO,EV_EBITDA_ADJUSTED,SALES_GROWTH,CUR_MKT_CAP,PX_VOLUME,FREE_CASH_FLOW_YIELD,PROF_MARGIN,EBITDA_TO_REVENUE,BEST_PX_SALES_RATIO,PX_OPEN,PX_OFFICIAL_CLOSE,PE_RATIO,EV_EBITDA_ADJUSTED,SALES_GROWTH,CUR_MKT_CAP,PX_VOLUME,FREE_CASH_FLOW_YIELD,PROF_MARGIN,EBITDA_TO_REVENUE,BEST_PX_SALES_RATIO,PX_OPEN,PX_OFFICIAL_CLOSE,PE_RATIO,EV_EBITDA_ADJUSTED,SALES_GROWTH,CUR_MKT_CAP,PX_VOLUME,FREE_CASH_FLOW_YIELD,PROF_MARGIN,EBITDA_TO_REVENUE,BEST_PX_SALES_RATIO,PX_OPEN,PX_OFFICIAL_CLOSE,PE_RATIO,EV_EBITDA_ADJUSTED,SALES_GROWTH,CUR_MKT_CAP,PX_VOLUME,FREE_CASH_FLOW_YIELD,PROF_MARGIN,EBITDA_TO_REVENUE,BEST_PX_SALES_RATIO,PX_OPEN,PX_OFFICIAL_CLOSE,PE_RATIO,EV_EBITDA_ADJUSTED,SALES_GROWTH,CUR_MKT_CAP,PX_VOLUME,FREE_CASH_FLOW_YIELD,PROF_MARGIN,EBITDA_TO_REVENUE,BEST_PX_SALES_RATIO
11/5/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.939,#N/A N/A,276.2857,#N/A N/A,33.1651,7377.5431,159925800,1.673,-4.1208,5.7354,#N/A N/A,0.664,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,194.1839,7033572,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,915.39,#N/A N/A,20.6529,#N/A N/A,#N/A N/A,8417572.86,2016653902,5.45,2.53,#N/A N/A,1.4676
11/6/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.943,#N/A N/A,273.1428,#N/A N/A,33.1651,7293.6206,128575760,1.6922,-4.1208,5.7354,#N/A N/A,0.632,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,182.9428,2586500,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,923.76,#N/A N/A,20.1851,#N/A N/A,#N/A N/A,8225482.82,1730050124,5.58,2.53,#N/A N/A,1.4351
11/7/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.952,#N/A N/A,278.7143,#N/A N/A,33.1651,7442.3922,142968280,1.6584,-4.1208,5.7354,#N/A N/A,0.605,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,188.4531,5156186,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,902.65,#N/A N/A,20.0031,#N/A N/A,#N/A N/A,8151333.28,1648748279,5.63,2.53,#N/A N/A,1.423
11/8/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.97,#N/A N/A,271.4286,#N/A N/A,33.1651,7247.8448,115225960,1.7029,-4.1208,5.7354,#N/A N/A,0.607,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,185.3673,371000,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,894.74,#N/A N/A,19.588,#N/A N/A,#N/A N/A,7981504.17,1266627143,5.75,2.53,#N/A N/A,1.3901
11/11/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.951,#N/A N/A,283.1428,#N/A N/A,33.1651,7560.6465,209695700,1.6325,-4.1208,5.7354,#N/A N/A,0.6,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,178.3141,2191000,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,876.19,#N/A N/A,19.7344,#N/A N/A,#N/A N/A,8041320.43,1595859800,5.71,2.53,#N/A N/A,1.4009
11/12/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.98,#N/A N/A,291.5714,#N/A N/A,33.1651,7785.7112,366799700,1.5853,-4.1208,5.7354,#N/A N/A,0.579,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,197.9309,3240300,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,882.95,#N/A N/A,19.7247,#N/A N/A,#N/A N/A,8032414.7,1714650618,5.71,2.53,#N/A N/A,1.4023
11/13/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.049,#N/A N/A,303,#N/A N/A,33.1651,8090.8836,264279380,1.5255,-4.1208,5.7354,#N/A N/A,0.643,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,191.6215,933100,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,882.53,#N/A N/A,20.2236,#N/A N/A,#N/A N/A,8231692.04,1742347650,5.57,2.53,#N/A N/A,1.4366
11/14/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.057,#N/A N/A,317.2857,#N/A N/A,33.1651,8472.3491,246553020,1.4568,-4.1208,5.7354,#N/A N/A,0.642,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,201.3575,2045400,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,904.27,#N/A N/A,20.3479,#N/A N/A,#N/A N/A,8283920.04,1707337794,5.53,2.53,#N/A N/A,1.445
11/15/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.132,#N/A N/A,320.2857,#N/A N/A,33.1651,8552.4568,507571320,1.4431,-4.1208,5.7354,#N/A N/A,0.649,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,241.1865,10072440,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,909.83,#N/A N/A,20.1361,#N/A N/A,#N/A N/A,8197792.76,1528767181,5.59,2.53,#N/A N/A,1.4309
11/18/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.094,#N/A N/A,304.1428,#N/A N/A,33.1651,8121.4008,246145460,1.5197,-4.1208,5.7354,#N/A N/A,0.72,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,205.783,28198128,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,900.36,#N/A N/A,20.0703,#N/A N/A,#N/A N/A,8146299.88,1563299480,5.61,2.51,#N/A N/A,1.4169
11/19/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.068,#N/A N/A,327.1428,#N/A N/A,33.1651,8735.5603,266982920,1.4129,-4.1208,5.7354,#N/A N/A,0.674,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,222.1571,10089520,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,896.74,#N/A N/A,20.4605,#N/A N/A,#N/A N/A,8306622.46,1778531067,5.51,2.51,#N/A N/A,1.4429
11/20/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.166,#N/A N/A,334.2857,#N/A N/A,33.1651,8926.2931,226113720,1.3827,-4.1208,5.7354,#N/A N/A,0.729,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,243.3992,10519502,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,914.15,#N/A N/A,20.8984,#N/A N/A,#N/A N/A,8484149.15,2381175695,5.39,2.51,#N/A N/A,1.4728
11/21/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.16,#N/A N/A,342.7143,#N/A N/A,33.1651,9151.3577,233967460,1.3487,-4.1208,5.7354,#N/A N/A,0.757,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,243.6205,4495260,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,933.76,#N/A N/A,20.8244,#N/A N/A,#N/A N/A,8453048.63,1853083190,5.41,2.51,#N/A N/A,1.4686
11/22/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.202,#N/A N/A,346.4286,#N/A N/A,33.1651,9250.5387,202174440,1.3342,-4.1208,5.7354,#N/A N/A,0.793,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,245.6119,4774322,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,930.55,#N/A N/A,20.8677,#N/A N/A,#N/A N/A,8475207.67,1769433999,5.4,2.51,#N/A N/A,1.4724
11/25/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.201,#N/A N/A,334.2857,#N/A N/A,33.1651,8926.2931,128608160,1.3827,-4.1208,5.7354,#N/A N/A,0.771,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,232.1143,1780632,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,932.87,#N/A N/A,20.4319,#N/A N/A,#N/A N/A,8298858.91,1728954515,5.52,2.51,#N/A N/A,1.4421
11/26/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.186,#N/A N/A,344,#N/A N/A,33.1651,9185.6896,113500080,1.3437,-4.1208,5.7354,#N/A N/A,0.761,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,232.8003,1069600,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,913.31,#N/A N/A,20.9973,#N/A N/A,#N/A N/A,8531983.7,1499939741,5.37,2.51,#N/A N/A,1.4794
11/27/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.186,#N/A N/A,344,#N/A N/A,33.1651,9185.6896,113500080,1.3437,-4.1208,5.7354,#N/A N/A,0.761,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,232.8003,1069600,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,913.31,#N/A N/A,20.9973,#N/A N/A,#N/A N/A,8531983.7,1499939741,5.37,2.51,#N/A N/A,1.4794
11/28/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.208,#N/A N/A,333.5714,#N/A N/A,33.1651,8907.2198,51648900,1.3857,-4.1208,5.7354,#N/A N/A,0.75,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,240.0801,932792,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,938.87,#N/A N/A,20.9417,#N/A N/A,#N/A N/A,8508962.17,703940321,5.59,2.51,#N/A N/A,1.4745
11/29/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.208,#N/A N/A,344.4286,#N/A N/A,33.1651,9197.1336,224287220,1.342,-4.1208,5.7354,#N/A N/A,0.743,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,235.8759,2011170,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,936.31,#N/A N/A,20.8782,#N/A N/A,#N/A N/A,8491797.35,1744883592,5.34,2.52,#N/A N/A,1.4717
12/2/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.192,#N/A N/A,339.1428,#N/A N/A,33.1651,9055.9913,118948540,1.3629,-4.1208,5.7354,#N/A N/A,0.75,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,238.7525,1166326,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,934.53,#N/A N/A,20.5733,#N/A N/A,#N/A N/A,8366781.59,1581588884,5.42,2.52,#N/A N/A,1.4499
12/3/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.174,#N/A N/A,334.1428,#N/A N/A,33.1651,8922.4784,159135440,1.3833,-4.1208,5.7354,#N/A N/A,0.743,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,220.1435,2491440,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,920.75,#N/A N/A,20.5026,#N/A N/A,#N/A N/A,8338322.16,1736818088,5.44,2.52,#N/A N/A,1.4521
12/4/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.183,#N/A N/A,322.5714,#N/A N/A,33.1651,8613.4913,213772140,1.4329,-4.1208,5.7354,#N/A N/A,0.859,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,243.3992,12644842,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,917.58,#N/A N/A,20.2527,#N/A N/A,#N/A N/A,8236833.5,1377708520,5.5,2.52,#N/A N/A,1.4367
12/5/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.085,#N/A N/A,323,#N/A N/A,33.1651,8624.9353,188207380,1.431,-4.1208,5.7354,#N/A N/A,0.785,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,242.315,3885672,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,906.55,#N/A N/A,20.3798,#N/A N/A,#N/A N/A,8286683.11,1457282427,5.47,2.52,#N/A N/A,1.446
12/6/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.112,#N/A N/A,309.7143,#N/A N/A,33.1651,8270.1724,149446380,1.4924,-4.1208,5.7354,#N/A N/A,0.796,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,247.6034,4070892,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,912.23,#N/A N/A,19.9346,#N/A N/A,#N/A N/A,8104011.72,1394312173,5.59,2.52,#N/A N/A,1.4148
12/9/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.098,#N/A N/A,312.2857,#N/A N/A,33.1651,8338.8362,142357580,1.4801,-4.1208,5.7354,#N/A N/A,0.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,269.9518,3237640,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,892,#N/A N/A,20.2123,#N/A N/A,#N/A N/A,8218659.15,1345269627,5.52,2.52,#N/A N/A,1.4199
12/10/02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1.084,#N/A N/A,316.1428,#N/A N/A,33.1651,8441.8318,128000460,1.4621,-4.1208,5.7354,#N/A N/A,0.854,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,277.9176,4901820,#N/A N/A,-6.9971,15.3176,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,904.45,#N/A N/A,20.2205,#N/A N/A,#N/A N/A,8222575.93,1370014600,5.52,2.52,#N/A N/A,1.421
